Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Total Reps,Total Sets,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,2026-04-01 18:17:38,false,"Treadmill Running","2.29","155","00:21:53","129","151","2.1","130","167","9:34","5:46","--","--","0.85","9.1","7.6","346","--","179","0.0","145","275","2,900","--","--","-3","No","00:01:56.2","3","--","--","--","--","--","--","--","--","--","00:20:06","00:21:53","--","--"
Running,2026-04-01 08:20:34,false,"Running","0.18","10","00:02:19.5","102","106","0.0","105","115","12:56","11:40","--","--","0.74","7.9","5.9","--","--","89","0.0","84","104","254","--","--","--","No","00:02:19.5","1","--","--","--","--","--","--","--","--","--","00:02:10","00:02:19.5","--","--"
Walking,2026-03-31 09:05:43,false,"Gennevilliers Walking","0.54","45","00:09:12.0","112","126","0.3","82","125","17:00","8:21","1","--","0.72","--","--","--","--","--","0.0","--","--","890","--","--","-1","No","00:09:12.0","1","--","--","--","--","--","--","--","--","--","00:06:25","00:09:12.0","29","32"
Walking,2026-03-30 08:55:29,false,"Gennevilliers Walking","0.48","27","00:05:15.4","115","121","0.2","118","126","10:56","8:21","3","--","0.77","--","--","--","--","--","0.0","--","--","624","--","--","--","No","00:00:01.3","2","--","--","--","--","--","--","--","--","--","00:05:15","00:05:15.4","28","32"
Walking,2026-03-28 21:18:53,false,"Paris Walking","0.52","41","00:09:36.8","96","115","0.2","80","142","18:29","6:41","2","5","0.68","--","--","--","--","--","0.0","--","--","814","--","--","--","No","00:09:36.8","1","--","--","--","--","--","--","--","--","--","00:06:52","00:09:36.8","50","57"
Walking,2026-03-28 16:27:02,false,"Paris Walking","0.42","47","00:07:52.8","128","144","0.6","77","125","18:45","10:34","1","2","0.69","--","--","--","--","--","0.0","--","--","640","--","--","--","No","00:07:52.8","1","--","--","--","--","--","--","--","--","--","00:05:09","00:07:52.8","53","57"
Walking,2026-03-27 23:59:24,false,"Paris Walking","0.36","30","00:06:52.6","99","110","0.2","71","125","19:20","7:52","--","12","0.73","--","--","--","--","--","0.0","--","--","540","--","--","--","No","00:06:52.6","1","--","--","--","--","--","--","--","--","--","00:04:30","00:06:52.6","35","52"
Walking,2026-03-27 17:47:48,false,"Paris Walking","0.70","48","00:12:04","98","107","0.2","62","155","17:15","5:49","25","30","0.94","--","--","--","--","--","0.0","--","--","802","--","--","-1","No","00:12:04","1","--","--","--","--","--","--","--","--","--","00:06:41","00:12:04","35","59"
Running,2026-03-26 18:12:52,false,"Paris Running","0.31","18","00:04:50.2","99","113","0.1","100","133","15:30","8:40","22","13","0.70","8.3","5.8","437","--","100","0.0","80","350","548","--","--","-1","No","00:04:50.2","1","--","--","--","--","--","--","--","--","--","00:04:28","00:04:50.2","28","42"
Running,2026-03-26 09:25:05,false,"Gennevilliers Running","0.31","25","00:04:15.2","117","139","0.3","91","125","13:52","8:51","3","--","0.78","8.1","6.3","452","--","115","0.0","81","180","458","--","--","-1","No","00:04:15.2","1","--","--","--","--","--","--","--","--","--","00:03:09","00:04:15.2","28","32"
Running,2026-03-18 18:40:32,false,"Running","0.25","15","00:01:37.8","143","146","0.4","141","158","6:37","5:56","--","--","0.99","9.8","9.7","291","--","236","0.0","214","261","248","--","--","--","No","00:01:37.8","1","--","--","--","--","--","--","--","--","--","00:01:35","00:01:37.8","--","--"
